City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,19,ZA,1595951511,58,-33.93,18.42,61.0,19.46
Bluff,100,NZ,1595951512,85,-46.6,168.33,43.0,11.72
Thompson,90,CA,1595951432,93,55.74,-97.86,59.0,5.82
Bambous Virieux,40,MU,1595951512,78,-20.34,57.76,71.6,8.05
Jalu,0,LY,1595951512,19,29.03,21.55,97.54,11.59
Jamestown,20,US,1595951512,60,42.1,-79.24,79.0,8.05
Butaritari,100,KI,1595951512,78,3.07,172.79,83.25,16.33
Yangi Marg`ilon,70,UZ,1595951513,35,40.43,71.72,86.0,12.46
Tiksi,100,RU,1595951513,85,71.69,128.87,40.14,10.63
Port Alfred,0,ZA,1595951513,67,-33.59,26.89,62.38,7.81
Longyearbyen,75,SJ,1595951513,55,78.22,15.64,64.4,9.17
Muroto-misakicho,85,JP,1595951513,91,33.28,134.15,79.16,4.61
Bengkulu,78,ID,1595951514,88,-3.8,102.27,76.3,6.93
Busselton,92,AU,1595951514,89,-33.65,115.33,51.01,6.6
Puerto Colombia,20,CO,1595951514,70,10.99,-74.95,86.0,3.36
Tuktoyaktuk,90,CA,1595951514,93,69.45,-133.04,48.2,4.7
Dīglūr,74,IN,1595951514,76,18.55,77.6,81.55,4.52
Calama,0,CL,1595951514,3,-22.47,-68.93,62.6,17.22
Maniitsoq,100,GL,1595951514,94,65.42,-52.9,45.0,5.23
Shādegān,4,IR,1595951515,67,30.65,48.66,105.8,11.41
Changzhou,100,CN,1595951515,86,31.78,119.97,81.0,5.44
Esperance,75,AU,1595951515,100,-33.87,121.9,50.0,8.05
Darnah,0,LY,1595951515,69,32.77,22.64,80.47,17.05
Rikitea,86,PF,1595951515,77,-23.12,-134.97,72.1,17.58
Strezhevoy,31,RU,1595951516,76,60.73,77.59,53.6,4.92
Meulaboh,100,ID,1595951516,91,4.14,96.13,74.07,9.75
Thinadhoo,71,MV,1595951516,77,0.53,72.93,82.62,11.16
Mahébourg,40,MU,1595951516,78,-20.41,57.7,71.6,8.05
Kholm,100,RU,1595951517,90,59.27,32.85,67.12,7.96
Ushuaia,75,AR,1595951247,88,-54.8,-68.3,33.8,35.57
Punta Arenas,8,CL,1595951383,64,-53.15,-70.92,39.2,26.4
Itoman,20,JP,1595951517,94,26.12,127.67,82.4,6.93
Liwale,82,TZ,1595951517,42,-9.77,37.93,77.04,4.0
Powell River,75,CA,1595951348,82,49.85,-124.54,64.4,6.93
Lüderitz,0,NA,1595951518,60,-26.65,15.16,69.8,17.22
Kapaa,75,US,1595951518,78,22.08,-159.32,78.8,18.34
Bredasdorp,98,ZA,1595951518,67,-34.53,20.04,59.0,6.93
Alice Springs,0,AU,1595951518,52,-23.7,133.88,41.0,4.7
Arraial do Cabo,0,BR,1595951518,45,-22.97,-42.03,84.2,10.29
Hermanus,99,ZA,1595951518,85,-34.42,19.23,55.99,5.03
Fare,74,PF,1595951519,79,-16.7,-151.02,78.6,19.51
Talaya,100,RU,1595951519,83,61.38,152.75,61.0,2.84
Lebu,0,CL,1595951519,68,-37.62,-73.65,48.27,13.6
Atuona,6,PF,1595951519,69,-9.8,-139.03,79.65,24.4
Saint-Augustin,96,CA,1595951519,69,51.23,-58.65,62.01,10.78
Severo-Kuril'sk,96,RU,1595951520,90,50.68,156.12,51.17,16.37
Fairbanks,90,US,1595951520,93,64.84,-147.72,54.0,10.27
Mezen',3,RU,1595951520,61,65.85,44.24,65.12,7.65
Souillac,40,MU,1595951520,78,-20.52,57.52,71.6,8.05
Mossamedes,20,AO,1595951520,68,-15.2,12.15,71.6,9.17
Saint Paul Harbor,1,US,1595951520,81,57.79,-152.41,53.6,5.82
Jatiroto,1,ID,1595951521,87,-7.88,111.12,68.95,2.53
Cidreira,100,BR,1595951521,78,-30.18,-50.21,55.09,12.73
Kaitangata,100,NZ,1595951521,78,-46.28,169.85,46.99,4.0
Tuatapere,100,NZ,1595951521,85,-46.13,167.68,43.0,6.02
Peto,24,MX,1595951521,52,20.13,-88.92,91.38,6.53
Westport,1,US,1595951247,52,41.14,-73.36,91.99,5.82
Barrow,90,US,1595951522,86,71.29,-156.79,37.4,23.04
Qaanaaq,0,GL,1595951522,61,77.48,-69.36,43.65,2.44
Zaigrayevo,77,RU,1595951522,82,51.83,108.27,62.6,4.47
Grindavik,75,IS,1595951522,81,63.84,-22.43,51.8,8.05
Listvyagi,56,RU,1595951522,81,53.68,86.95,59.49,1.28
Vostok,8,RU,1595951522,98,46.49,135.88,61.45,2.84
Dikson,7,RU,1595951523,79,73.51,80.55,42.96,17.16
Puerto Ayora,75,EC,1595951523,88,-0.74,-90.35,69.8,13.87
Port Augusta,0,AU,1595951523,86,-32.5,137.77,37.4,6.93
Salalah,75,OM,1595951523,88,17.02,54.09,82.4,8.05
Abnūb,0,EG,1595951523,28,27.27,31.15,96.8,12.75
Hong Gai,20,VN,1595951523,84,20.96,107.09,86.0,6.93
Gorontalo,100,ID,1595951328,86,0.54,123.06,75.04,4.25
Glushkovo,12,RU,1595951524,67,51.34,34.63,76.84,5.77
Pilibanga,53,IN,1595951524,29,29.49,74.08,103.26,8.9
Pevek,42,RU,1595951524,90,69.7,170.31,34.18,8.3
Mataura,100,NZ,1595951524,85,-46.19,168.86,43.0,5.23
Klaksvík,100,FO,1595951524,100,62.23,-6.59,48.2,29.97
Faanui,95,PF,1595951525,81,-16.48,-151.75,77.99,19.04
Okhotsk,98,RU,1595951525,86,59.38,143.3,60.78,0.98
Castro,0,BR,1595951308,48,-24.79,-50.01,75.11,12.73
Yellowknife,75,CA,1595951525,93,62.46,-114.35,64.0,9.17
Imbituba,75,BR,1595951525,88,-28.24,-48.67,64.4,13.87
Henties Bay,0,NA,1595951525,90,-22.12,14.28,57.99,5.01
Letka,35,RU,1595951525,87,59.6,49.42,66.16,3.58
Bethel,1,US,1595951526,58,41.37,-73.41,87.01,5.82
Torbay,75,CA,1595951526,77,47.67,-52.73,64.0,10.29
Haines Junction,100,CA,1595951526,76,60.75,-137.51,46.53,1.9
Vao,97,NC,1595951526,77,-22.67,167.48,72.19,26.04
São João da Barra,0,BR,1595951526,45,-21.64,-41.05,82.4,5.82
Wad Rāwah,89,SD,1595951526,52,15.16,33.14,86.92,11.74
Kapenguria,28,KE,1595951526,92,1.25,35.09,58.77,3.44
San Cristobal,20,VE,1595951526,55,7.77,-72.22,87.8,4.7
Mar del Plata,20,AR,1595951527,70,-38.0,-57.56,48.0,14.99
Codrington,73,AU,1595951527,91,-38.27,141.97,43.0,6.29
Vaini,20,TO,1595951527,88,-21.2,-175.2,68.0,18.34
Kavieng,36,PG,1595951527,72,-2.57,150.8,82.81,10.56
Santa Helena,1,BR,1595951528,40,-2.23,-45.3,91.83,7.43
Decatur,1,US,1595951379,57,39.84,-88.95,80.6,1.7
Kirakira,100,SB,1595951528,82,-10.45,161.92,80.33,4.7
Hithadhoo,95,MV,1595951528,75,-0.6,73.08,82.96,10.11
Vaitape,92,PF,1595951528,79,-16.52,-151.75,78.84,19.04
Aklavik,90,CA,1595951529,87,68.22,-135.01,57.2,4.7
Wagar,96,SD,1595951529,48,16.15,36.2,87.08,7.4
Muzhi,38,RU,1595951529,67,65.37,64.67,52.03,4.43
Smoky Lake,0,CA,1595951529,67,54.12,-112.47,69.42,11.77
Berdigestyakh,100,RU,1595951530,70,62.1,126.7,54.25,3.56
George Town,20,MY,1595951431,88,5.41,100.34,86.0,6.93
Lagoa,0,PT,1595951530,85,39.05,-27.98,74.32,8.95
Sept-Îles,90,CA,1595951530,77,50.2,-66.38,64.0,18.34
Hanstholm,31,DK,1595951530,81,57.12,8.62,61.0,4.0
Hong Kong,0,HK,1595951437,74,22.29,114.16,86.0,3.0
Tetiiv,18,UA,1595951530,53,49.38,29.66,81.41,3.65
Dakar,75,SN,1595951276,66,14.69,-17.44,89.6,9.17
Kikwit,29,CD,1595951531,18,-5.04,18.82,94.82,1.28
New Norfolk,74,AU,1595951531,91,-42.78,147.06,41.0,2.53
Khatanga,0,RU,1595951531,75,71.97,102.5,49.64,0.98
Carnarvon,0,AU,1595951531,82,-24.87,113.63,66.2,19.46
Shebalino,74,RU,1595951531,71,51.29,85.68,56.77,5.79
Yaan,89,NG,1595951531,87,7.38,8.57,78.98,6.35
Albany,81,US,1595951532,76,42.6,-73.97,77.0,6.76
Port Hedland,0,AU,1595951532,51,-20.32,118.57,59.0,8.05
Salta,23,AR,1595951354,39,-24.79,-65.41,48.2,3.36
Mount Gambier,40,AU,1595951532,93,-37.83,140.77,41.0,4.7
Barra Patuca,55,HN,1595951532,79,15.8,-84.28,83.91,12.91
Tataouine,0,TN,1595951532,16,32.93,10.45,95.0,9.17
Hilo,90,US,1595951532,73,19.73,-155.09,73.4,4.56
Isangel,10,VU,1595951532,73,-19.55,169.27,75.2,14.99
Hobart,69,AU,1595951250,93,-42.88,147.33,42.8,4.7
Saint-Pierre,90,RE,1595951533,78,-21.34,55.48,71.6,17.22
East London,0,ZA,1595951345,48,-33.02,27.91,69.17,5.14
Pantai Remis,40,MY,1595951533,94,4.46,100.63,78.8,1.12
Nizhnyaya Tavda,66,RU,1595951533,66,57.67,66.17,55.65,5.59
Fortuna,90,US,1595951533,100,40.6,-124.16,54.0,4.25
Namatanai,69,PG,1595951533,76,-3.67,152.43,80.56,6.02
Riyadh,40,SA,1595951459,12,24.69,46.72,109.4,10.29
Karaton,20,ID,1595951533,74,-6.34,106.1,78.8,2.24
Port Elizabeth,20,ZA,1595951403,88,-33.92,25.57,62.6,16.11
Goderich,0,CA,1595951534,89,43.75,-81.72,75.99,12.91
Norman Wells,75,CA,1595951534,82,65.28,-126.83,59.0,6.93
Vila Franca do Campo,20,PT,1595951534,88,37.72,-25.43,75.2,6.93
Carutapera,13,BR,1595951534,57,-1.2,-46.02,87.22,10.4
Lorengau,45,PG,1595951534,73,-2.02,147.27,81.45,3.49
Airai,32,TL,1595951535,100,-8.93,125.41,52.25,2.98
Maragogi,5,BR,1595951377,69,-9.01,-35.22,79.72,9.57
Urengoy,100,RU,1595951535,71,65.97,78.37,54.16,10.49
Tombouctou,98,ML,1595951535,33,20.0,-3.0,96.04,10.98
Taltal,2,CL,1595951536,44,-25.4,-70.48,66.85,3.76
Miraflores,75,MX,1595951536,63,19.22,-98.81,64.4,4.7
Diego de Almagro,0,CL,1595951536,13,-26.37,-70.05,79.77,7.45
Constitución,0,CL,1595951536,51,-35.33,-72.42,51.19,6.96
Bluefield,90,US,1595951536,94,37.27,-81.22,69.8,8.05
Linhares,1,BR,1595951276,43,-19.39,-40.07,83.05,5.46
Yaya,79,RU,1595951536,89,56.21,86.44,58.1,5.59
Saint-Philippe,90,RE,1595951537,78,-21.36,55.77,71.6,17.22
Dejen,91,ET,1595951537,99,10.17,38.13,56.73,5.19
Clyde River,40,CA,1595951537,87,70.47,-68.59,46.4,9.17
Alugan,100,PH,1595951537,90,12.22,125.48,76.84,5.17
Saskylakh,54,RU,1595951537,79,71.92,114.08,44.71,3.94
Emba,62,KZ,1595951538,40,48.83,58.14,72.48,10.94
Shache,19,CN,1595951538,20,38.42,77.24,80.2,4.79
Zelenogradsk,100,RU,1595951538,57,54.96,20.48,78.8,4.47
Diapaga,100,BF,1595951538,69,12.07,1.79,82.74,6.58
Puerto Madryn,0,AR,1595951330,57,-42.77,-65.04,45.72,10.71
Hasaki,75,JP,1595951538,100,35.73,140.83,70.0,12.75
Padang,40,ID,1595951538,94,-0.95,100.35,75.2,5.82
Uşak Province,0,TR,1595951538,26,38.5,29.42,85.05,20.29
Barra do Piraí,0,BR,1595951539,35,-22.47,-43.83,85.46,3.78
Chifeng,64,CN,1595951338,72,42.27,118.96,70.97,4.9
Cayenne,29,GF,1595951539,52,4.93,-52.33,91.4,8.05
Palu,100,ID,1595951418,81,-0.89,119.87,75.45,2.24
Takoradze,82,GH,1595951539,79,4.88,-1.76,77.81,12.66
Tessalit,26,ML,1595951540,18,20.2,1.01,101.77,0.78
Ancud,90,CL,1595951540,100,-41.87,-73.82,51.01,1.12
Ukiah,1,US,1595951486,63,39.15,-123.21,69.01,1.5
Nosy Varika,100,MG,1595951540,92,-20.58,48.53,65.53,8.97
Mount Isa,0,AU,1595951540,35,-20.73,139.5,57.2,16.11
Chui,21,UY,1595951540,68,-33.7,-53.46,50.54,11.07
Opuwo,0,NA,1595951540,17,-18.06,13.84,78.57,7.27
Port Blair,88,IN,1595951531,80,11.67,92.75,83.68,19.66
Shingū,100,JP,1595951541,93,33.73,135.98,75.49,5.23
Halifax,5,CA,1595951262,73,44.65,-63.57,81.0,10.29
Krechevitsy,75,RU,1595951541,88,58.62,31.4,71.53,3.76
Steamboat Springs,75,US,1595951319,67,40.48,-106.83,63.0,9.17
Sur,40,OM,1595951541,55,22.57,59.53,90.95,13.91
Beatrice,75,US,1595951361,78,40.27,-96.75,78.8,8.05
Polunochnoye,24,RU,1595951542,59,60.87,60.42,58.1,4.36
Apia,41,WS,1595951542,88,-13.83,-171.77,78.01,3.0
Maragheh,40,IR,1595951542,18,37.39,46.24,96.8,9.17
Boa Vista,40,BR,1595951542,66,2.82,-60.67,86.0,5.82
Henderson,1,US,1595951408,11,36.04,-114.98,91.0,1.7
Bathsheba,40,BB,1595951542,83,13.22,-59.52,82.4,21.92
Médéa,0,DZ,1595951542,66,36.26,2.75,86.0,10.29
Seminole,90,US,1595951542,69,28.71,-81.21,88.0,3.36
Alofi,32,NU,1595951543,100,-19.06,-169.92,64.4,1.12
Ostrovnoy,75,RU,1595951543,75,68.05,39.51,60.84,11.59
Narsaq,75,GL,1595951543,81,60.92,-46.05,53.6,6.93
Yulara,0,AU,1595951543,32,-25.24,130.99,53.6,8.05
Siderno,0,IT,1595951543,31,38.28,16.3,91.4,18.34
Hearst,100,CA,1595951543,84,49.68,-83.67,62.83,7.18
Arrecife,20,ES,1595951543,58,28.96,-13.55,82.4,25.28
Karratha,0,AU,1595951544,42,-20.74,116.85,66.72,2.46
Poum,71,NC,1595951544,78,-20.23,164.02,74.28,31.25
Skellefteå,100,SE,1595951348,93,64.75,20.95,62.01,4.7
Novoye Leushino,0,RU,1595951544,85,56.81,40.51,70.02,4.36
Nikolskoye,90,RU,1595951544,93,59.7,30.79,66.2,6.71
Ratnagiri,100,IN,1595951544,82,16.98,73.3,81.93,6.33
Upernavik,100,GL,1595951544,83,72.79,-56.15,43.5,4.85
Kontagora,54,NG,1595951544,80,10.4,5.47,80.83,4.61
Atyrau,32,KZ,1595951447,22,47.12,51.88,86.0,8.95
Waingapu,0,ID,1595951545,73,-9.66,120.26,71.74,11.36
Ketchikan,40,US,1595951545,87,55.34,-131.65,55.4,10.29
Talcahuano,0,CL,1595951545,65,-36.72,-73.12,46.4,8.05
Yar-Sale,49,RU,1595951545,63,66.83,70.83,52.21,10.45
Cabo San Lucas,75,MX,1595951545,78,22.89,-109.91,84.99,11.41
Lompoc,90,US,1595951545,87,34.64,-120.46,57.2,3.36
Pomabamba,2,PE,1595951546,36,-8.83,-77.47,57.61,6.22
Pelotas,40,BR,1595951542,54,-31.77,-52.34,53.6,13.87
Gayéri,99,BF,1595951546,59,12.65,0.49,84.97,10.07
Mareeba,0,AU,1595951546,65,-17.0,145.43,57.0,3.15
Bindura,81,ZW,1595951546,57,-17.3,31.33,59.25,2.73
Kotel'nich,4,RU,1595951546,79,58.31,48.35,67.98,1.52
Rio Grande,40,BR,1595951475,54,-32.03,-52.1,53.6,13.87
Nara,99,JP,1595951547,98,34.69,135.8,79.0,5.39
Plettenberg Bay,2,ZA,1595951547,75,-34.05,23.37,59.54,6.24
Lubao,75,PH,1595951547,88,14.92,120.55,79.0,5.82
Dzhankoy,73,UA,1595951547,69,45.72,34.4,77.77,9.4
Great Bend,90,US,1595951486,88,38.36,-98.76,80.01,6.93
Kumul,0,CN,1595951547,29,42.8,93.45,80.2,10.25
Dunmore East,75,IE,1595951548,55,52.15,-6.99,66.2,11.41
San Quintín,34,MX,1595951548,70,30.48,-115.95,71.2,10.98
Avera,1,US,1595951548,59,33.19,-82.53,91.0,4.7
Nelson Bay,90,AU,1595951548,93,-32.72,152.15,55.4,9.17
Qui Nhon,100,VN,1595951494,83,13.77,109.23,81.84,7.2
Arlit,1,NE,1595951549,18,18.74,7.39,104.18,12.46
Blackwater,0,AU,1595951549,51,-23.58,148.88,51.69,8.5
Evans,1,US,1595951549,55,33.53,-82.13,91.0,6.93
Znamenskoye,80,RU,1595951549,69,57.13,73.83,54.27,6.69
Camacha,75,PT,1595951549,73,33.08,-16.33,73.4,14.99
Tual,99,ID,1595951549,81,-5.67,132.75,78.4,21.56
Tangará,40,BR,1595951549,69,-6.2,-35.8,84.2,17.22
Portland,20,US,1595951111,77,45.52,-122.68,71.01,5.82
Yinchuan,13,CN,1595951550,27,38.47,106.27,86.54,6.87
Bulgan,95,MN,1595951550,77,48.81,103.53,59.02,2.8
Lavrentiya,92,RU,1595951550,79,65.58,-171.0,44.56,6.93
Ginda,34,IN,1595951550,82,30.69,78.49,67.64,1.21
Provideniya,82,RU,1595951551,83,64.38,-173.3,49.3,7.2
Avarua,93,CK,1595951551,94,-21.21,-159.78,68.0,9.17
Chokurdakh,100,RU,1595951551,90,70.63,147.92,41.79,9.6
Leningradskiy,29,RU,1595951551,85,69.38,178.42,35.64,0.34
Orsk,20,RU,1595951551,43,51.2,58.57,73.4,8.95
Kahului,1,US,1595951486,65,20.89,-156.47,78.8,18.34
Haverfordwest,0,GB,1595951551,59,51.8,-4.97,64.99,16.11
Beringovskiy,0,RU,1595951551,87,63.05,179.32,53.78,2.51
Samarai,35,PG,1595951551,88,-10.62,150.67,78.85,5.68
Yangon,75,MM,1595951552,94,16.81,96.16,80.6,4.7
Kyabram,84,AU,1595951552,91,-36.32,145.05,45.0,1.99
Churāchāndpur,100,IN,1595951552,96,24.33,93.67,70.03,1.52
Ambilobe,54,MG,1595951552,71,-13.2,49.05,76.89,1.32
Lakselv,59,NO,1595951552,41,70.05,24.97,75.2,12.75
Ullapool,100,GB,1595951292,90,57.9,-5.16,53.01,5.99
Kalvarija,100,LT,1595951552,82,54.4,23.23,74.68,6.71
Saint George,1,US,1595951393,32,37.1,-113.58,89.01,5.82
Morant Bay,20,JM,1595951553,58,17.88,-76.41,87.8,5.82
Tura,95,IN,1595951553,95,25.52,90.22,75.45,4.7
Waddān,0,LY,1595951553,18,29.16,16.14,95.22,10.16
Geraldton,0,AU,1595951553,87,-28.77,114.6,50.0,8.05
Iskateley,0,RU,1595951553,65,67.68,53.15,59.38,13.53
Aksu,34,CN,1595951553,17,41.12,80.26,82.67,4.03
Saint Lawrence,0,MT,1595951553,35,36.06,14.2,89.6,8.05
Hay River,75,CA,1595951554,67,60.82,-115.8,62.6,5.82
Caraballeda,14,VE,1595951554,60,10.61,-66.85,82.0,4.7
Flinders,70,AU,1595951554,70,-34.58,150.86,59.0,3.0
Mariehamn,71,AX,1595951264,77,60.1,19.93,66.2,11.41
Walla Walla,1,US,1595951467,30,46.06,-118.34,81.0,6.93
Wausau,1,US,1595951554,64,44.96,-89.63,75.2,10.29
Natal,40,BR,1595951555,58,-5.79,-35.21,84.2,23.04
Dunedin,100,NZ,1595951555,67,-45.87,170.5,48.99,4.0
Newtownards,36,GB,1595951453,72,54.59,-5.69,60.01,9.17
Yeppoon,0,AU,1595951555,87,-23.13,150.73,46.4,3.36
Ilulissat,75,GL,1595951555,81,69.22,-51.1,44.6,10.29
San Patricio,40,MX,1595951555,74,19.22,-104.7,86.0,6.93
Teya,81,RU,1595951555,75,60.38,92.63,55.67,0.72
